method,test_case,segSNR,fwSegSNR,global_SNR,WSS,PESQ,STOI
Speex,babble_0dB,-5.816926923197879,-1.432921380749832,-3.8653169,1.5209585645117987,,
Speex,babble_5dB,-5.259403684570806,-0.8745206149832495,-3.3120918,1.5093526158143897,,
Speex,babble_10dB,-4.907030128214284,-0.506355584374049,-3.1198955,1.4885253081465577,,
Speex,babble_15dB,-4.675981069836574,-0.2822724264206879,-3.0541348,1.466447171785826,,
Speex,car_0dB,-5.248296296258834,-0.43127561797494024,-3.4025123,1.4422061174050897,,
Speex,car_5dB,-4.8832753892736,-0.32356044950959356,-3.1470094,1.450572753648856,,
Speex,car_10dB,-4.6156860935178905,-0.2929479118741133,-3.0628989,1.44761248450892,,
Speex,car_15dB,-4.429630030317972,-0.21359480591222288,-3.0344172,1.4427076601175877,,
Speex,street_0dB,-5.458276664453876,-1.6444092283166853,-3.3436873,1.571404453140609,,
Speex,street_5dB,-5.062115580385008,-1.0396819342457748,-3.1355536,1.5509032796421904,,
Speex,street_10dB,-4.818091937486927,-0.7260955204705831,-3.06663,1.5312339186173614,,
Speex,street_15dB,-4.63596929539169,-0.42731549833730403,-3.0375683,1.514324654855431,,
RNNoise,babble_0dB,-3.7533832967618137,-0.16787770950316608,-2.6736536,1.4836739906195213,,
RNNoise,babble_5dB,-3.8972273284816352,-0.2248438156041277,-2.8865743,1.470539979211147,,
RNNoise,babble_10dB,-4.007307504624052,-0.25066048826898213,-2.9709914,1.4667499886802418,,
RNNoise,babble_15dB,-4.081364231867763,-0.26437314185086486,-3.021018,1.4683063265384142,,
RNNoise,car_0dB,-3.800283923547316,-0.35929352193724096,-2.8007889,1.456837930021546,,
RNNoise,car_5dB,-4.003627412136105,-0.26709957082084423,-2.9503684,1.4608284238329423,,
RNNoise,car_10dB,-4.094900184692239,-0.26121861029011945,-3.0105078,1.4590343410785593,,
RNNoise,car_15dB,-4.127652739610308,-0.33577718442534654,-3.0340285,1.466552990399249,,
RNNoise,street_0dB,-3.971766350370417,-0.20650669999548257,-2.6374831,1.5266836409410105,,
RNNoise,street_5dB,-3.9644473510563065,-0.1876680016576884,-2.874423,1.502684910334752,,
RNNoise,street_10dB,-4.025987245589434,-0.3170936402916606,-2.9689052,1.486832778649918,,
RNNoise,street_15dB,-4.083681428283547,-0.30754648480485863,-3.019507,1.4792213570439403,,
V1,babble_0dB,-0.3929547874413168,3.5403021825910477,3.5377643,1.0993262253456977,,
V1,babble_5dB,1.6365495551369047,5.306074586532777,5.7389994,0.923201879630525,,
V1,babble_10dB,3.8512543155213996,7.17317883228151,7.6144643,0.7483768674810896,,
V1,babble_15dB,6.039841745345234,8.921519209727332,9.318216,0.6257251134908342,,
V1,car_0dB,-0.4570804334865702,5.176666624086059,3.9843347,0.9303883580662244,,
V1,car_5dB,2.224232831466284,7.427800563671263,6.8720016,0.7036220063558818,,
V1,car_10dB,4.277345932067761,9.166660951010796,8.726767,0.5784664267784388,,
V1,car_15dB,6.97968594583815,11.072911513588807,10.877561,0.4629258326468741,,
V1,street_0dB,-0.3607035103378378,2.7987676082529216,3.5255494,1.2467884823198485,,
V1,street_5dB,1.5412301731777323,4.359178999477891,5.357489,1.0911128957414327,,
V1,street_10dB,3.6786538536488083,6.16707863274427,7.2583838,0.9325137649838935,,
V1,street_15dB,5.854124687085755,7.934400749636143,8.927678,0.779495959293349,,
V2,babble_0dB,-0.49404901897328707,3.483997182619706,3.3623266,1.1340525795087992,,
V2,babble_5dB,0.816098848608472,4.165428896064058,4.316316,0.9634019464842745,,
V2,babble_10dB,1.6967328678973836,4.38173336451861,4.598612,0.8134699365491336,,
V2,babble_15dB,2.151125947447903,4.458490686726422,4.497686,0.6946701710726602,,
V2,car_0dB,-0.23527949101513568,4.093718674823101,3.5230904,0.9080932746509073,,
V2,car_5dB,0.902796136499693,4.273407527572419,4.1218705,0.7508797972113433,,
V2,car_10dB,1.7099431754884609,4.424983819965384,4.354749,0.6399302154255687,,
V2,car_15dB,2.373592630541152,4.436842882038746,4.5594916,0.5649744031547493,,
V2,street_0dB,-0.547478246197055,2.6691665987010547,3.6794078,1.3177311368683193,,
V2,street_5dB,0.7049210901718265,3.6363748850346336,4.4095726,1.1513543295616828,,
V2,street_10dB,1.6540418529947942,4.0983613789966125,4.6827044,1.0000586894520744,,
V2,street_15dB,2.2234665557848636,4.43751593455673,4.4737606,0.8600268131304601,,
V3,babble_0dB,-0.9342419783156233,2.5687662659880677,1.3005453,1.2561345934087973,,
V3,babble_5dB,-0.08201923381292785,3.333987391013325,1.895684,1.114335183401875,,
V3,babble_10dB,0.5995275122939377,4.160612774879567,2.3520286,0.9752334826303443,,
V3,babble_15dB,1.2370424299940441,5.038358117666658,2.7860732,0.858858967273497,,
V3,car_0dB,-0.01986758407565503,4.389947681172553,2.0384383,0.9905977436281445,,
V3,car_5dB,0.6711659548385142,5.21123838305242,2.4605963,0.8754241081056346,,
V3,car_10dB,1.3109244209037212,6.060309621022349,2.8604975,0.7805914376017106,,
V3,car_15dB,1.9670322790675654,6.992384401151243,3.1822233,0.7042606225785207,,
V3,street_0dB,-1.4082320782112785,1.989671154926621,1.3887303,1.4455319336542303,,
V3,street_5dB,-0.36556534569495125,2.8553527102121903,2.0149655,1.322496670919069,,
V3,street_10dB,0.44369036992440075,3.719919341891697,2.4474516,1.1850364960834234,,
V3,street_15dB,1.146879462393891,4.482992877654493,2.8287797,1.033342996963769,,
V3-2,babble_0dB,-0.5637341049969282,1.5162488192546857,0.6928578,1.2430255260061462,,
V3-2,babble_5dB,0.10398943512121593,1.8181130514218578,0.96010774,1.1005592647746503,,
V3-2,babble_10dB,0.6084969278426255,2.141937426083096,1.1302161,0.9813377772481485,,
V3-2,babble_15dB,0.958129512308483,2.3608557795279905,1.2412379,0.890181850097458,,
V3-2,car_0dB,0.18447446670221154,2.40545043737898,1.0633037,0.9913201689646863,,
V3-2,car_5dB,0.648358663615805,2.6821038735591984,1.2056313,0.891365505871409,,
V3-2,car_10dB,0.9746855637476145,2.770568212216959,1.3086579,0.8151013825366886,,
V3-2,car_15dB,1.1796229000182044,2.831644067369893,1.3512828,0.7532856476811611,,
V3-2,street_0dB,-1.187245457197274,1.4273004346812526,0.71260893,1.4309655385099778,,
V3-2,street_5dB,-0.30803514164165635,1.8048453120166381,1.0063093,1.3160615914863993,,
V3-2,street_10dB,0.4034193567523222,2.0288265474523146,1.1735762,1.1905093940186315,,
V3-2,street_15dB,0.8800658924437201,2.2959484830328116,1.2515074,1.0491184329869279,,
V3-3,babble_0dB,-0.9774654992461207,1.841008503732181,1.0473738,1.25781662466379,,
V3-3,babble_5dB,-0.4047893724611822,2.1990362248960227,1.4250557,1.1187888973753484,,
V3-3,babble_10dB,-0.014059553047242764,2.4589065609625105,1.6510402,0.9865212257770275,,
V3-3,babble_15dB,0.31371955509763627,2.7600270338205877,1.8413426,0.8809602662594187,,
V3-3,car_0dB,-0.5414541957334776,2.4057537503570474,1.413498,1.0097228567801722,,
V3-3,car_5dB,-0.09143527944345714,2.681648315735161,1.6226504,0.8984197006495094,,
V3-3,car_10dB,0.31041537795665874,3.0498244081447528,1.8193333,0.8099546857083514,,
V3-3,car_15dB,0.7159530941848801,3.6046517903728406,1.9900023,0.7446360544908651,,
V3-3,street_0dB,-1.3486000152869395,1.6716727835703133,1.1008204,1.4424372898740083,,
V3-3,street_5dB,-0.6254208563254832,2.1006729089236202,1.4590524,1.3232169165215617,,
V3-3,street_10dB,-0.14040413897277773,2.415741458764536,1.6442747,1.1911117360639656,,
V3-3,street_15dB,0.26948419111165833,2.640217318977186,1.8142682,1.040238144363105,,
V3-4,babble_0dB,-1.25255222142349,2.2863443724958374,1.6579388,1.2108465866081457,,
V3-4,babble_5dB,-0.28361939082589477,2.479244743384278,2.002307,1.0687324736398902,,
V3-4,babble_10dB,0.5657861350880226,2.5383562327296683,2.1137772,0.9446297662832851,,
V3-4,babble_15dB,1.1528396680250268,2.4283338683368716,2.15021,0.8517265452247077,,
V3-4,car_0dB,-0.31298937444718355,2.5829229887018252,1.9344153,0.9571682088924239,,
V3-4,car_5dB,0.3990547340577769,2.5924669214072256,2.091566,0.8704078394978081,,
V3-4,car_10dB,0.8548775923539084,2.4910277688173554,2.1733694,0.7974324866798504,,
V3-4,car_15dB,1.162045458093416,2.346816961476096,2.189732,0.7529666362859869,,
V3-4,street_0dB,-1.3477933113809148,1.946362575474553,1.7784458,1.4383044971984045,,
V3-4,street_5dB,-0.43881435452222406,2.558120259825798,2.0287464,1.32271373214012,,
V3-4,street_10dB,0.3109584102968148,2.8003918835520483,2.1267035,1.18191997432624,,
V3-4,street_15dB,1.0059540657552435,2.7429880373053677,2.1422064,1.0353404989021036,,
V4,babble_0dB,-0.6033708480850354,1.088409972941982,0.49782988,1.195998630818592,,
V4,babble_5dB,0.0428873916569655,1.2844121443163454,0.8163813,1.0079333403752098,,
V4,babble_10dB,0.6867943118851495,1.6005043907511478,1.1741401,0.8602024566766421,,
V4,babble_15dB,1.2064689187130269,1.9528105853913078,1.5189933,0.7726573392286176,,
V4,car_0dB,-0.26361951858348376,1.180111170470293,0.6954558,0.908633928045611,,
V4,car_5dB,0.33749688408387596,1.3834183652077567,0.9870618,0.7772111402755478,,
V4,car_10dB,0.8917307961578159,1.6897773053140641,1.353011,0.6924672145224956,,
V4,car_15dB,1.4570376407856502,2.2749991942035104,1.7470148,0.629582579238085,,
V4,street_0dB,-0.8257238024642801,1.1893394336417096,0.54278487,1.3843131786573493,,
V4,street_5dB,-0.1409892281891579,1.360771794390345,0.8188567,1.2289568268615243,,
V4,street_10dB,0.5069350610501792,1.5344292734646985,1.1616365,1.0549291819582678,,
