Method,PESQ_Δ,STOI_Δ,segSNR_Δ
V3-3-Natural,0.14527257283528647,-0.06433543254347907,0.28513420835957476
V3-3-Balanced,0.1179228127002716,-0.07459870691379349,-0.11142485240321409
V3-4-Natural,0.1022751231988271,-0.018794838978849027,-0.502794370971324
V3-4-Balanced,0.1337099572022756,-0.0244246036505949,-0.634447898519417
