Method,0dB,5dB,10dB,15dB,Average
V1,2.2839,5.1640,6.8244,7.0291,5.3253
V2,1.6429,2.8957,3.2373,2.4289,2.5512
V3,2.8148,4.4987,5.3452,5.7964,4.6138
V3-2,2.6119,4.6801,5.6217,5.5291,4.6107
V3-3,1.7681,3.3469,4.1590,4.5734,3.4618
V3-4,1.7740,3.1552,4.1087,3.7935,3.2079
V4,-1.0986,-1.4905,-1.9061,-2.7067,-1.8005
Speex,2.7450,2.3204,1.7316,1.0543,1.9628
RNNoise,3.9519,2.7296,1.2347,-0.3406,1.8939
