Method,0dB,5dB,10dB,15dB,Average
V1,23.5811,20.8456,17.9509,15.0560,19.3584
V2,23.5811,20.8456,17.9509,15.0560,19.3584
V3,23.5811,20.8456,17.9509,15.0560,19.3584
V3-2,23.5811,20.8456,17.9509,15.0560,19.3584
V3-3,23.5811,20.8456,17.9509,15.0560,19.3584
V3-4,23.5811,20.8456,17.9509,15.0560,19.3584
V4,23.5811,20.8456,17.9509,15.0560,19.3584
Speex,22.2851,18.8659,15.7417,12.9363,17.4572
RNNoise,22.2851,18.8659,15.7417,12.9363,17.4572
