Method,0dB,5dB,10dB,15dB,Average
V1,0.1174,0.1227,0.0715,0.0184,0.0825
V2,0.0733,0.0535,-0.0012,-0.0721,0.0134
V3,0.0520,0.0367,0.0102,-0.0293,0.0174
V3-2,0.0997,0.0846,0.0442,-0.0135,0.0538
V3-3,0.0407,0.0130,-0.0407,-0.1091,-0.0240
V3-4,0.0994,0.0996,0.0825,0.0482,0.0824
V4,0.0287,0.0110,-0.0384,-0.1143,-0.0282
Speex,0.0805,0.0827,0.0764,0.0494,0.0723
RNNoise,0.1475,0.1482,0.1149,0.0668,0.1194
