Method,0dB,5dB,10dB,15dB,Average
V1,-0.0430,-0.0377,-0.0349,-0.0321,-0.0369
V2,-0.0284,-0.0380,-0.0459,-0.0511,-0.0409
V3,-0.0368,-0.0468,-0.0502,-0.0493,-0.0458
V3-2,-0.0807,-0.0902,-0.0940,-0.0912,-0.0890
V3-3,-0.0639,-0.0831,-0.0925,-0.0938,-0.0833
V3-4,-0.0233,-0.0234,-0.0223,-0.0191,-0.0220
V4,-0.0296,-0.0523,-0.0761,-0.0929,-0.0627
Speex,0.0005,0.0013,0.0009,-0.0000,0.0007
RNNoise,0.0290,0.0255,0.0161,0.0072,0.0194
