Method,0dB,5dB,10dB,15dB,Average
V1,19.1187,17.4243,16.5719,15.5698,17.1712
V2,17.9149,16.5461,16.4226,16.0372,16.7302
V3,14.2276,12.5083,10.9940,9.6288,11.8397
V3-2,15.7478,14.4042,13.4660,12.6862,14.0760
V3-3,14.7097,13.4095,12.4093,11.5490,13.0194
V3-4,15.6435,13.7987,12.3258,11.1127,13.2202
V4,18.9338,18.7605,18.9343,19.3131,18.9854
Speex,17.3540,14.9536,12.9832,11.4431,14.1835
RNNoise,12.6457,11.4121,10.3326,9.2817,10.9180
